function name,avg time,std dev
serial_copy,0.5436666666666666,0.04193248541803039
vector_copy,,
look_and_say_sequence,0.1034721,0.004373783578322099
count_words_dictionary,,
count_words_set,0.7792834333333334,0.01229685185091426
iterative_fibonacci,5.866666666666667e-06,6.350852961085884e-06
recursive_fibonacci,4.1185640999999995,0.02565053718033982
matrix_multiplication,103.77766666666666,14.269797802818841
belief_propagation,242.83033333333333,0.7393539973066551
markov_chain_function,0.005,0.0
compute_FFT,,
loop_solver,4.5729999999999995,0.06296030495478874
vectorized_solver,,
compute_quadrature,0.0,0.0
evaluate_functions,956.782,153.92189503446224
