function name,avg time,std dev
serial_copy,0.5143333333333333,0.0037859388972001857
vector_copy,,
look_and_say_sequence,0.11000776666666667,0.00455126744691337
count_words_dictionary,,
count_words_set,0.7930649000000001,0.008667016148017731
iterative_fibonacci,1.17e-05,1.6369789247268884e-05
recursive_fibonacci,3.9858407666666666,0.031639715521213786
matrix_multiplication,84.13533333333334,5.563950065675765
belief_propagation,,
markov_chain_function,0.004333333333333333,0.0005773502691896258
compute_FFT,,
loop_solver,4.544333333333333,0.12619957738967835
vectorized_solver,,
compute_quadrature,0.0,0.0
evaluate_functions,,
